hand_size,total,method,ability_probability,can_play_2_cards_probability,can_play_3_cards_probability,can_play_4_cards_probability,can_play_5_cards_probability,highest_available_tier_0_probability,highest_available_tier_2_probability,highest_available_tier_3_probability,highest_available_tier_4_probability,highest_available_tier_5_probability,probability_can_play_at_least_4_cards,five_card_option_given_ability,four_or_five_card_option_given_ability,mean_minimum_cards_given_ability,mean_maximum_cards_given_ability,both_two_and_five_available_probability
4,2,exact,0.025712438821682518,0.025712438821682518,0,0,0,0.9742875611783175,0.025712438821682518,0,0,0,0,0,0,2,2,0
4,3,exact,0.06461538461538462,0.06396158463385354,0.0007129005448333179,0,0,0.9353846153846154,0.0639024840705513,0.0007129005448333179,0,0,0,0,0,2.0101183330475045,2.01103298462242,0
4,4,exact,0.09292824822236587,0.08931942007572259,0.004092714008680395,0.0000036937852063902484,0,0.9070717517776341,0.08883184042847908,0.004092714008680395,0.0000036937852063902484,0,0.0000036937852063902484,0,0.00003974878766197631,2.038874314333413,2.044121154304794,0
4,5,exact,0.13380367531628035,0.12697756025487117,0.00818542801736079,0.000059100563302243975,0,0.8661963246837197,0.12555914673561733,0.00818542801736079,0.000059100563302243975,0,0.000059100563302243975,0,0.000441696113074205,2.0514575971731452,2.0620583038869262,0
4,6,exact,0.16448425524055776,0.15198079231692677,0.015325514821313141,0.00019207683073229291,0,0.8355157447594422,0.14896666358851232,0.015325514821313141,0.00019207683073229291,0,0.00019207683073229291,0,0.0011677520772512913,2.077183920952167,2.0955086458567256,0
4,7,exact,0.207354326345923,0.1890479268630529,0.022798042293840613,0.0004728045064179518,0,0.792645673654077,0.18408347954566442,0.022798042293840613,0.0004728045064179518,0,0.0004728045064179518,0,0.0022801767136953113,2.090565768847086,2.1145076243408867,0
4,8,exact,0.24093083387201034,0.21369655554529504,0.03331794256164004,0.0009049773755656109,0,0.7590691661279897,0.2067079139348047,0.03331794256164004,0.0009049773755656109,0,0.0009049773755656109,0,0.003756170852114188,2.1167939165363503,2.1458007543004323,0
4,9,exact,0.2855628405208237,0.25017268445839874,0.04455074337427278,0.0015366146458583433,0,0.7144371594791763,0.2394754825006926,0.04455074337427278,0.0015366146458583433,0,0.0015366146458583433,0,0.005381003505413341,2.1293122404894644,2.1667723033540724,0
4,10,exact,0.32236771631729616,0.27446670976082743,0.05845045710591929,0.002452673377043125,0,0.6776322836827039,0.26146458583433374,0.05845045710591929,0.002452673377043125,0,0.002452673377043125,0,0.007608309557365966,2.1561995118765256,2.196532719168586,0
4,11,exact,0.4798522485917444,0.4315523132329855,0.07306307138239912,0.0036051343614368824,0,0.5201477514082556,0.4031840428479084,0.07306307138239912,0.0036051343614368824,0,0.0036051343614368824,0,0.00751300920651538,2.1081688579610183,2.16728761893032,0
4,12,exact,0.4745147289685105,0.39744020685197157,0.10087358020131129,0.005115892510850494,0,0.5254852710314896,0.3685252562563487,0.10087358020131129,0.005115892510850494,0,0.005115892510850494,0,0.010781314464086936,2.1732094065995655,2.234145240263733,0
4,13,exact,0.48042847908394126,0.3742099916889833,0.13050881891218025,0.007151168159571521,0,0.5195715209160587,0.3427684920121895,0.13050881891218025,0.007151168159571521,0,0.007151168159571521,0,0.014884979702300407,2.2359761348259317,2.301420838971583,0
4,14,exact,0.47057715393849847,0.3395068796749469,0.15117924092714008,0.010268722873764891,0,0.5294228460615015,0.3091291901375935,0.15117924092714008,0.010268722873764891,0,0.010268722873764891,0,0.021821549958005292,2.3003524415802574,2.3649065519596224,0
4,15,exact,0.46982362175639486,0.31592206113214516,0.1740548527103149,0.013652230122818357,0,0.5301763782436051,0.2821165389232616,0.1740548527103149,0.013652230122818357,0,0.013652230122818357,0,0.02905820288852374,2.3566312611543085,2.4285849064020817,0
4,16,exact,0.4559534583063995,0.28062794348508635,0.18758518792132237,0.01813279157816973,0,0.5440465416936006,0.2502354788069074,0.18758518792132237,0.01813279157816973,0,0.01813279157816973,0,0.03976895283462143,2.4242939775433823,2.4909509227304394,0
4,17,exact,0.4504940437713547,0.25668852156247113,0.20332071290054482,0.022399113491550465,0,0.5495059562286453,0.2247742173792594,0.20332071290054482,0.022399113491550465,0,0.022399113491550465,0,0.0497212200721548,2.479927845195146,2.5507707445063956,0
